title,id,type,taz
Fog Signal Building,312647081,Site of Interest,42
Sneath Lane Road,312641809,Trailhead,227
Post Exchange/Officer's Club,312647028,Site of Interest,42
Chip Trail,312642212,Trailhead,190
Coastal Trail,301601766,Trailhead,1454
Milagra Ridge Trail,301602478,Trailhead,223
Water Tower,312647004,Site of Interest,42
Trailhead,301604877,Trailhead,1451
Trailhead,301604865,Trailhead,1451
Cabrillo Farms,312641646,Site of Interest,294
Trailhead,301604893,Trailhead,294
Mori Point,312641946,Park,224
Milagra Ridge?,301602491,Trailhead,223
Renegade Ranch,312641693,Site of Interest,293
Homestead Fire Road,312648698,Trailhead,1451
Sea Scouts,312646099,Site of Interest,40
Military Chapel,312646950,Site of Interest,42
Alta Avenue Fire Road,312648533,Trailhead,1450
Rancho Corral de Tierra,312641705,Park,294
Cliff House,312642519,Park,54
Julius Kahn Playground,312643425,Site of Interest,52
Phleger Estate,312641593,Park,299
Sweeney Ridge,312641818,Park,227
USS San Francisco Memorial,315450029,Site of Interest,54
Milagra Ridge,312641987,Park,223
Trailhead,301604856,Trailhead,223
Bolinas Ridge,312649503,Park,1416
San Francisco Maritime National Historic Park - Hyde Street Pier,312646370,Site of Interest,40
Walt Disney Family Museum,312644771,Site of Interest,52
Torpedo Wharf,312646430,Site of Interest,52
Trailhead,301604850,Trailhead,1451
US Coast Guard Pier,312645750,Site of Interest,52
Gullies Trail,301602161,Trailhead,299
Battery Davis Trail,312642250,Trailhead,190
Sweeney Ridge Trail,301604775,Trailhead,227
Alcatraz,312646749,Park,42
Tennessee Valley,301604794,Trailhead,1450
Tennessee Valley,312648094,Trailhead,1450
Alcatraz Historic Garden - Rose Terrace,312646994,Site of Interest,42
Alcatraz Historic Garden - West Side Prisoner Gardens,312646840,Site of Interest,42
Parade Ground,312646664,Site of Interest,42
Coastal Trail,312649325,Trailhead,1454
Oakwood Valley,312648328,Park,1450
Sally Port,312646911,Site of Interest,42
Paul Goode Field,312643577,Site of Interest,52
West Bluff Picnic Area,312645943,Site of Interest,52
Bolinas Ridge Trail,312649405,Trailhead,1454
Pillar Point,312641614,Site of Interest,293
Coastal Trail,301601773,Trailhead,1454
Fog Whistle Trail,301601952,Trailhead,293
Tomales Bay and Points North,312649596,Park,1415
Chip Trail,312642163,Trailhead,190
Half Moon Bay Airport,312641634,Site of Interest,293
Trailhead,301604886,Trailhead,294
Matt Davis Trail,312649060,Trailhead,1454
Wayburn Redwood Grove,312644792,Site of Interest,52
